kode,nama,total_in,date_in,no_invoice,harga_satuan
SU01-RPS101,SUNSUN RPS101,10,10/18/2023,INV/20231018/MPL/2116310099,75000
6955974908743,SUNSUN RPS102,6,10/18/2023,INV/20231018/MPL/2116310100,90000
6955974908750,SUNSUN RPS103,2,10/18/2023,INV/20231018/MPL/2116310101,135000
6955974908767,SUNSUN RPS104,2,10/18/2023,INV/20231018/MPL/2116310102,180000
6955974908774,SUNSUN RPS105,2,10/18/2023,INV/20231018/MPL/2116310103,270000
6955974908781,SUNSUN RPS106,2,10/18/2023,INV/20231018/MPL/2116310104,325000
6955974908798,SUNSUN RPS107,2,10/18/2023,INV/20231018/MPL/2116310105,370000
SUNSUN-RPS108,SUNSUN RPS108,2,10/18/2023,INV/20231018/MPL/2116310106,560000
SUNSUN-RPS109,SUNSUN RPS109,3,10/18/2023,INV/20231018/MPL/2116310107,590000
SUNSUN-RPS110,SUNSUN RPS110,2,10/18/2023,INV/20231018/MPL/2116310108,930000
02SSG300505160138,SUNSUN RPS12000,7,10/18/2023,INV/20231018/MPL/2116310109,1550000
02SSG300505160139,SUNSUN RPS14000,2,10/18/2023,INV/20231018/MPL/2116310110,1620000
02SSG300505160140,SUNSUN RPS16000,6,10/18/2023,INV/20231018/MPL/2116310111,1680000
02SSG300505160125,SUNSUN RPS1800,10,10/18/2023,INV/20231018/MPL/2116310112,740000
02SSG300505160126,SUNSUN RPS2800,10,10/18/2023,INV/20231018/MPL/2116310113,765000
02SSG300505160127,SUNSUN RPS3800,2,10/18/2023,INV/20231018/MPL/2116310114,795000
SUNSUN-RPS4,SUNSUN RPS4,3,10/18/2023,INV/20231018/MPL/2116310115,1150000
02SSG300505160128,SUNSUN RPS4800,2,10/18/2023,INV/20231018/MPL/2116310116,825000
SUNSUN-RPS5,SUNSUN RPS5,2,10/18/2023,INV/20231018/MPL/2116310117,1200000
SUNSUN-RPS5800,SUNSUN RPS5800,7,10/18/2023,INV/20231018/MPL/2116310118,850000
SUNSUN-RPS6,SUNSUN RPS6,3,10/18/2023,INV/20231018/MPL/2116310119,1250000
6955974955044,SUNSUN RPS600,10,10/18/2023,INV/20231018/MPL/2116310120,80000
02SSG300505160134,SUNSUN RPS7,10,10/18/2023,INV/20231018/MPL/2116310121,1300000
02SSG300505160135,SUNSUN RPS8,2,10/18/2023,INV/20231018/MPL/2116310122,1350000
02SSG300505160136,SUNSUN RPS9,2,10/18/2023,INV/20231018/MPL/2116310123,1400000
SUNSUN-UV9PART,SUNSUN Spare Part UV 9W,4,10/18/2023,INV/20231018/MPL/2116310124,120000
02SSG30051703015,SUNSUN SS02,4,10/18/2023,INV/20231018/MPL/2116310125,65000
SUNSUN-SS03,SUNSUN SS03,10,10/18/2023,INV/20231018/MPL/2116310126,85000
SU01-VC01DC,SUNSUN VC01DC,10,10/18/2023,INV/20231018/MPL/2116310127,410000
02SSG300514160129,SUNSUN WM10000S,4,10/18/2023,INV/20231018/MPL/2116310128,295000
SU01-WM2500S,SUNSUN WM2500S,10,10/18/2023,INV/20231018/MPL/2116310129,163000
02SSG300514160128,SUNSUN WM5000S,10,10/18/2023,INV/20231018/MPL/2116310130,147000
6955974910951,SUNSUN YT818,19,10/18/2023,INV/20231018/MPL/2116310131,540000
6955974901560,SUNSUN YT828,6,10/18/2023,INV/20231018/MPL/2116310132,1100000
6955974910227,SUNSUN YT838,4,10/18/2023,INV/20231018/MPL/2116310133,1250000
SU01-YT848,SUNSUN YT848,10,10/18/2023,INV/20231018/MPL/2116310134,1150000
SU01-YT858,SUNSUN YT858,10,10/18/2023,INV/20231018/MPL/2116310135,1650000
SU01-YT878,SUNSUN YT878,2,10/18/2023,INV/20231018/MPL/2116310136,1500000
SU01-YT888,SUNSUN YT888,2,10/18/2023,INV/20231018/MPL/2116310137,2300000
SU01-YT898,SUNSUN YT898,10,10/18/2023,INV/20231018/MPL/2116310138,1950000
TOMYCAN-BEEF400,Tomi canned Beef 400,10,10/18/2023,INV/20231018/MPL/2116310139,20000
TOMYCAN-SORTMEAT400,Tomi canned Dog Food Sort Meat 400,2,10/18/2023,INV/20231018/MPL/2116310140,20000
TOMICAT-LAMB400,Tomicat Lamb 400,10,10/18/2023,INV/20231018/MPL/2116310141,20000
TOMICAT-LIVER100,Tomicat Liver 100,10,10/18/2023,INV/20231018/MPL/2116310142,55000
TOMICAT-MILK100,Tomicat Milk 100,10,10/18/2023,INV/20231018/MPL/2116310143,55000
TOMICAT-SALMON120,Tomicat Salmon 120,10,10/18/2023,INV/20231018/MPL/2116310144,55000
TOMICAT-SHRIMP100,Tomicat Shirmp 100 gr,3,10/18/2023,INV/20231018/MPL/2116310145,10000
6955974900013,YUTING ACO001,5,10/18/2023,INV/20231018/MPL/2116310146,380000
6955974900020,YUTING ACO002,20,10/18/2023,INV/20231018/MPL/2116310147,420000
YU01-ACO003,YUTING ACO003,10,10/18/2023,INV/20231018/MPL/2116310148,500000
6955974900044,YUTING ACO004,8,10/18/2023,INV/20231018/MPL/2116310149,710000
6955974900051,YUTING ACO005,10,10/18/2023,INV/20231018/MPL/2116310150,760000
YU01-ACO006,YUTING ACO006,2,10/18/2023,INV/20231018/MPL/2116310151,1020000
YU01-ACO007,YUTING ACO007,10,10/18/2023,INV/20231018/MPL/2116310152,1090000
YU01-ACO008,YUTING ACO008,2,10/18/2023,INV/20231018/MPL/2116310153,1220000
6955974900099,YUTING ACO012,10,10/18/2023,INV/20231018/MPL/2116310154,1350000
6955974900112,YUTING ACO016,2,10/18/2023,INV/20231018/MPL/2116310155,2000000
YUTING-YT301C,YUTING YT301C,10,10/18/2023,INV/20231018/MPL/2116310156,95000
YUTING-YT302C,YUTING YT302C,6,10/18/2023,INV/20231018/MPL/2116310157,94000
YUTING-YT304,YUTING YT304,6,10/18/2023,INV/20231018/MPL/2116310158,9700
YAMANO-T450,Yamano T4 50cm,2,10/18/2023,INV/20231018/MPL/2116310159,99000
YAMANO-T420,YAMANO T4 20cm,6,10/18/2023,INV/20231018/MPL/2116310160,35483
YAMANO-Q350W,YAMANO Q3 50 W,5,10/18/2023,INV/20231018/MPL/2116310161,42625
YAMANO-T430,YAMANO T4 30cm,10,10/18/2023,INV/20231018/MPL/2116310162,43733
YAMANO-Q3100W,YAMANO Q3 100 W,16,10/18/2023,INV/20231018/MPL/2116310163,44000
6972666201005,YAMANO MP44 Hang On Filter Ultra Slim,35,10/18/2023,INV/20231018/MPL/2116310164,51525
6972666200190,YAMANO WP102,36,10/18/2023,INV/20231018/MPL/2116310165,54341
YAMANO-P600,YAMANO P600,17,10/18/2023,INV/20231018/MPL/2116310166,68300
YAMANO-UV7W,YAMANO UV 7W,67,10/18/2023,INV/20231018/MPL/2116310167,74894
YAMANO-UV9W,YAMANO UV 9W,29,10/18/2023,INV/20231018/MPL/2116310168,84333
YAMANO-P800,YAMANO P800,17,10/18/2023,INV/20231018/MPL/2116310169,86833
YAMANO-UV11W,YAMANO UV 11W,140,10/18/2023,INV/20231018/MPL/2116310170,88900
YAMANO-P1000,YAMANO P1000,13,10/18/2023,INV/20231018/MPL/2116310171,108300
6972666200220,YAMANO WP105,32,10/18/2023,INV/20231018/MPL/2116310172,154595
6972666200770,YAMANO ACT5800,7,10/18/2023,INV/20231018/MPL/2116310173,577061
YA01-ACT9000,YAMANO ACT9000,5,10/18/2023,INV/20231018/MPL/2116310174,783011
YAMANO-AP08,YAMANO AP08,26,10/18/2023,INV/20231018/MPL/2116310175,157739
YAMANO-P400,YAMANO P400,12,10/18/2023,INV/20231018/MPL/2116310176,55000
YAMANO-T440,YAMANO T4 40cm,21,10/18/2023,INV/20231018/MPL/2116310177,54328
6920042802087,RESUN Airpump Lp20,7,10/18/2023,INV/20231018/MPL/2116310178,666106
RESUN-LP40,RESUN Airpump Lp40,5,10/18/2023,INV/20231018/MPL/2116310179,1011313
RESUN-LP60,RESUN Airpump Lp60,6,10/18/2023,INV/20231018/MPL/2116310180,1348947
SDIHKRHKWM24000,Hikari WM24000,19,10/18/2023,INV/20231018/MPL/2116310181,204722
HIKARI-LP200LED,HIKARI HK LP 200 T4-LED,10,10/18/2023,INV/20231018/MPL/2116310182,25819
HIKARI-HKT4-300BW,HIKARI HK LP 300 T4-LED Biru Putih,83,10/18/2023,INV/20231018/MPL/2116310183,32105
HIKARI-HKT4-300W,HIKARI HK LP 300 T4-LED Putih,61,10/18/2023,INV/20231018/MPL/2116310184,32105
HIKARI-HK-T4-300R,HIKARI HK LP 300 T4-LED Red,5,10/18/2023,INV/20231018/MPL/2116310185,32105
SDIHKRHKWM8000,Hikari WM8000,16,10/18/2023,INV/20231018/MPL/2116310186,96311
SDILMPHKRHKUV20W,Hikari HK UV 20W Lampu,10,10/18/2023,INV/20231018/MPL/2116310187,171111
SDILMPHKRHKUV55WB,Hikari HK UV 55W Lampu,18,10/18/2023,INV/20231018/MPL/2116310188,535333
SDILMPHKRHKUV75WB,Hikari HK UV 75W Lampu,24,10/18/2023,INV/20231018/MPL/2116310189,594000
SDILMPHKRHKUV95WB,Hikari HK UV 95W Lampu,18,10/18/2023,INV/20231018/MPL/2116310190,707143
6973079820920,SINOCARE Tensimeter digital BA 801,25,10/18/2023,INV/20231018/MPL/2116310191,313812
8994887005185,ONEMED Tensimeter digital Tensione 1A,6,10/18/2023,INV/20231018/MPL/2116310192,366472
4975479495298,OMRON Tensimeter Digital HEM 7120,87,10/18/2023,INV/20231018/MPL/2116310193,567202
6955974906053,SUNSUN JTP16000,3,10/18/2023,INV/20231018/MPL/2116310194,1080000
6920840302703,Jebo AC/DC Dual Use 9950,78,10/18/2023,INV/20231018/MPL/2116310195,186250
6971785581050,Jebo AC/DC Dual Use 9970,10,10/18/2023,INV/20231018/MPL/2116310196,487589
